epoch,test_acc_before_rounding,test_acc,val_acc,train_acc,regularization_loss,model_sparsity
0,79.77,79.77,79.77,49.532727277166195,2.298007011413574,33.618090452261306
1,85.23,85.23,85.23,82.66909090354225,1.344498634338379,12.010887772194305
2,82.96,82.96,82.96,83.68909091131037,0.8945916891098022,4.050251256281407
3,82.81,82.81,82.81,82.73090908647018,0.6596150398254395,3.512562814070352
4,83.7,83.7,83.7,82.98909090798118,0.523085355758667,3.2872696817420435
5,83.33,83.33,83.33,83.01090908647016,0.4440634250640869,3.1608040201005023
6,83.93,83.93,83.93,83.22545454656428,0.3953177034854889,3.0862646566164154
7,84.63,84.63,84.63,83.15454545232599,0.3662165701389313,3.0418760469011725
8,84.13,84.13,84.13,83.55454545343572,0.3482164740562439,3.0100502512562812
9,83.89,83.89,83.89,83.52727272616299,0.3354635536670685,3.003350083752094
10,83.62,83.62,83.62,83.48909091020064,0.3267342746257782,2.9472361809045227
11,84.1,84.1,84.1,83.31818181596236,0.3210408389568329,2.9438860971524288
12,84.16,84.16,84.16,83.71818182040128,0.316910982131958,2.942211055276382
13,84.05,84.05,84.05,83.64727273060191,0.31400471925735474,2.9279731993299833
14,84.39,84.39,84.39,83.59636363414418,0.31208986043930054,2.9229480737018427
15,84.24,84.24,84.24,83.86181818181818,0.31099599599838257,2.9120603015075375
16,84.6,84.6,84.6,83.57272726717862,0.31011512875556946,2.9179229480737017
17,84.35,84.35,84.35,83.8,0.3095090687274933,2.908710217755444
18,83.58,83.58,83.58,83.77090909090909,0.3090497851371765,2.9170854271356785
19,84.56,84.56,84.56,83.68909091131037,0.30872130393981934,2.907035175879397
20,84.36,84.36,84.36,83.88909090354225,0.30856141448020935,2.9120603015075375
21,83.45,83.45,83.45,83.93818181152344,0.30844974517822266,2.9120603015075375
22,83.75,83.75,83.75,83.98545453879616,0.3083817660808563,2.9137353433835846
23,84.8,84.8,84.8,83.88363636807529,0.3083531856536865,2.9137353433835846
24,84.48,84.48,84.48,84.07090908868963,0.3083484172821045,2.912897822445561
24,-1.0,11.26,11.68,11.009090909507059,0.0,2.912897822445561
25,-1.0,15.08,14.76,15.239999999583851,0.0,2.912897822445561
26,-1.0,51.06,50.38,24.889090910755503,0.0,2.912897822445561
27,-1.0,84.27,82.9,72.94545454878373,0.0,2.912897822445561
28,-1.0,87.73,86.66,85.49090908425072,0.0,2.912897822445561
29,-1.0,89.1,88.6,88.01818181929154,0.0,2.912897822445561
30,-1.0,90.18,89.56,89.30909090909091,0.0,2.912897822445561
31,-1.0,90.79,90.04,90.27818181485263,0.0,2.912897822445561
32,-1.0,90.91,90.5,90.72181817848899,0.0,2.912897822445561
33,-1.0,91.27,90.8,91.22363636030717,0.0,2.912897822445561
34,-1.0,91.66,91.32,91.60000000332919,0.0,2.912897822445561
35,-1.0,91.59,91.12,91.84909091131037,0.0,2.912897822445561
36,-1.0,91.72,91.58,91.96363636030718,0.0,2.912897822445561
37,-1.0,92.09,92.0,92.30909090576172,0.0,2.912897822445561
38,-1.0,92.02,92.12,92.47636363969282,0.0,2.912897822445561
39,-1.0,92.52,92.62,92.71272726828835,0.0,2.912897822445561
40,-1.0,92.68,92.24,92.77454545565519,0.0,2.912897822445561
41,-1.0,92.76,92.84,92.85999999556108,0.0,2.912897822445561
42,-1.0,93.25,93.08,93.0872727228338,0.0,2.912897822445561
43,-1.0,92.82,92.92,93.21636364080256,0.0,2.912897822445561
44,-1.0,93.38,92.94,93.24909091020064,0.0,2.912897822445561
45,-1.0,91.43,90.96,93.46909091352983,0.0,2.912897822445561
46,-1.0,93.38,93.08,93.36545454212535,0.0,2.912897822445561
47,-1.0,92.35,92.16,93.60909090576172,0.0,2.912897822445561
48,-1.0,93.32,93.06,93.68727273060192,0.0,2.912897822445561
49,-1.0,93.09,92.84,93.65454545121626,0.0,2.912897822445561
