epoch,test_acc_before_rounding,test_acc,val_acc,train_acc,regularization_loss,model_sparsity
0,76.48,76.48,76.48,50.05636364080256,2.2970948219299316,33.65242881072027
1,82.27,82.27,82.27,80.72545453879617,1.3446779251098633,12.150753768844222
2,79.8,79.8,79.8,81.69818182151101,0.8993213772773743,4.159966499162479
3,81.66,81.66,81.66,80.13454545565519,0.663539707660675,3.600502512562814
4,81.57,81.57,81.57,80.30181818181818,0.5277407765388489,3.3559463986599667
5,81.85,81.85,81.85,80.8618181751598,0.44584348797798157,3.230318257956449
6,82.02,82.02,82.02,80.82909091352983,0.39621827006340027,3.146566164154104
7,82.26,82.26,82.26,81.34909090576171,0.3671961724758148,3.113065326633166
8,82.88,82.88,82.88,82.0381818137429,0.3483850359916687,3.083752093802345
9,80.86,80.86,80.86,82.12909090465199,0.33640289306640625,3.040201005025126
10,83.48,83.48,83.48,82.19818181707208,0.3282359838485718,3.033500837520938
11,83.38,83.38,83.38,82.27090908868963,0.3228340744972229,3.0209380234505865
12,82.75,82.75,82.75,82.54545454434482,0.31958138942718506,3.0008375209380236
13,81.81,81.81,81.81,82.49090909312855,0.3172672390937805,2.9958123953098825
14,83.83,83.83,83.83,82.89454545787464,0.31592631340026855,2.9949748743718594
15,84.09,84.09,84.09,82.72363636807529,0.31481778621673584,2.9857621440536013
16,83.28,83.28,83.28,83.10181818514737,0.31389114260673523,2.9790619765494135
17,83.66,83.66,83.66,83.18545453990589,0.31296098232269287,2.969849246231156
18,82.95,82.95,82.95,83.12909091020065,0.3123503029346466,2.963149078726968
19,82.43,82.43,82.43,83.31818181818181,0.3118950128555298,2.977386934673367
20,84.16,84.16,84.16,83.22909090465198,0.3116467595100403,2.974036850921273
21,84.1,84.1,84.1,83.392727273837,0.31149837374687195,2.974036850921273
22,84.61,84.61,84.61,83.49818182040129,0.3113987147808075,2.9648241206030153
23,84.63,84.63,84.63,83.43090908647017,0.31136369705200195,2.966499162479062
24,83.59,83.59,83.59,83.57090908647017,0.3113555908203125,2.969849246231156
24,-1.0,9.48,9.3,9.821818181679465,0.0,2.969849246231156
25,-1.0,9.58,9.34,9.954545454545455,0.0,2.969849246231156
26,-1.0,81.39,80.56,48.781818177379265,0.0,2.969849246231156
27,-1.0,87.21,87.86,84.847272726163,0.0,2.969849246231156
28,-1.0,88.55,88.32,87.78727272727272,0.0,2.969849246231156
29,-1.0,89.97,90.14,88.99636363414417,0.0,2.969849246231156
30,-1.0,90.49,90.7,90.03272727494674,0.0,2.969849246231156
31,-1.0,90.43,90.88,90.70909090354226,0.0,2.969849246231156
32,-1.0,91.59,91.82,91.1763636385831,0.0,2.969849246231156
33,-1.0,91.62,91.48,91.55999999667081,0.0,2.969849246231156
34,-1.0,91.62,91.42,91.94727273060192,0.0,2.969849246231156
35,-1.0,92.73,92.48,92.17636363414418,0.0,2.969849246231156
36,-1.0,91.67,92.0,92.58545454656428,0.0,2.969849246231156
37,-1.0,92.33,92.64,92.70727273171165,0.0,2.969849246231156
38,-1.0,92.91,92.86,92.84363636585583,0.0,2.969849246231156
39,-1.0,92.63,92.76,93.14181817848899,0.0,2.969849246231156
40,-1.0,93.08,93.06,93.19636363303445,0.0,2.969849246231156
41,-1.0,93.11,93.08,93.5327272705078,0.0,2.969849246231156
42,-1.0,93.0,93.28,93.52545454212536,0.0,2.969849246231156
43,-1.0,93.61,93.52,93.75818181596236,0.0,2.969849246231156
44,-1.0,93.24,93.42,93.98363636807528,0.0,2.969849246231156
45,-1.0,93.69,93.6,93.76545454767401,0.0,2.969849246231156
46,-1.0,93.58,93.36,94.02545454212536,0.0,2.969849246231156
47,-1.0,93.25,93.36,94.11090909312856,0.0,2.969849246231156
48,-1.0,93.89,93.62,94.14,0.0,2.969849246231156
49,-1.0,93.78,93.44,94.26363636252664,0.0,2.969849246231156
