epoch,test_acc_before_rounding,test_acc,val_acc,train_acc,regularization_loss,model_sparsity
0,76.48,76.48,76.48,50.05636364080256,2.2970948219299316,33.65242881072027
1,82.27,82.27,82.27,80.72545453879617,1.3446779251098633,12.150753768844222
2,79.8,79.8,79.8,81.69818182151101,0.8993213772773743,4.159966499162479
3,81.66,81.66,81.66,80.13454545565519,0.6634800434112549,3.600502512562814
4,81.57,81.57,81.57,80.30181818181818,0.5273085832595825,3.3559463986599667
5,81.79,81.79,81.79,80.86909091352983,0.44522228837013245,3.230318257956449
6,81.19,81.19,81.19,80.77090909534802,0.3953430950641632,3.137353433835846
7,81.73,81.73,81.73,81.26909090465199,0.3662913739681244,3.1164154103852595
8,82.33,82.33,82.33,81.94545454101562,0.3474760055541992,3.0829145728643215
9,82.73,82.73,82.73,81.85090909201882,0.33460816740989685,3.046901172529313
10,83.23,83.23,83.23,82.05272727161754,0.32709619402885437,3.0418760469011725
11,83.0,83.0,83.0,82.28545454212535,0.3212631642818451,3.022613065326633
12,83.29,83.29,83.29,82.32909090687144,0.31742432713508606,3.0
13,83.22,83.22,83.22,82.63272726939809,0.3145497441291809,2.986599664991625
14,83.79,83.79,83.79,82.71272726939809,0.31261229515075684,2.993299832495812
15,84.11,84.11,84.11,82.53454544788707,0.3110813498497009,2.9849246231155777
16,83.39,83.39,83.39,82.87818181596236,0.30995962023735046,2.9840871021775546
17,83.85,83.85,83.85,82.78,0.30912303924560547,2.974036850921273
18,84.18,84.18,84.18,82.89454545676492,0.308504581451416,2.97571189279732
19,83.09,83.09,83.09,83.21636364080256,0.30808892846107483,2.9639865996649917
20,83.51,83.51,83.51,83.09090908536044,0.30784350633621216,2.9690117252931323
21,84.08,84.08,84.08,83.28363635919744,0.30770498514175415,2.977386934673367
22,84.5,84.5,84.5,83.34181818292791,0.3076249659061432,2.9673366834170856
23,83.97,83.97,83.97,83.41272726717862,0.30759021639823914,2.9681742043551087
24,84.07,84.07,84.07,83.31636363747337,0.30757981538772583,2.959798994974874
24,-1.0,9.3,9.14,9.770909090770374,0.0,2.959798994974874
25,-1.0,19.48,19.94,11.358181819014115,0.0,2.959798994974874
26,-1.0,81.91,81.36,58.065454548783734,0.0,2.959798994974874
27,-1.0,85.39,85.72,83.2236363647461,0.0,2.959798994974874
28,-1.0,87.65,87.4,86.01818181707209,0.0,2.959798994974874
29,-1.0,88.46,88.44,88.29454545232599,0.0,2.959798994974874
30,-1.0,90.17,89.72,89.43454545787465,0.0,2.959798994974874
31,-1.0,90.41,90.36,90.50727272172408,0.0,2.959798994974874
32,-1.0,91.15,91.06,91.21454545343572,0.0,2.959798994974874
33,-1.0,92.17,92.14,91.63999999778054,0.0,2.959798994974874
34,-1.0,91.79,91.38,92.02181817848899,0.0,2.959798994974874
35,-1.0,92.74,92.06,92.34363636696555,0.0,2.959798994974874
36,-1.0,92.05,91.58,92.52727272949218,0.0,2.959798994974874
37,-1.0,92.85,92.68,92.78363636585583,0.0,2.959798994974874
38,-1.0,92.7,92.44,92.85454545787465,0.0,2.959798994974874
39,-1.0,93.02,93.06,93.15090909423829,0.0,2.959798994974874
40,-1.0,93.43,93.06,93.25636363969282,0.0,2.959798994974874
41,-1.0,93.52,92.9,93.50181817959871,0.0,2.959798994974874
42,-1.0,93.24,93.1,93.53999999667082,0.0,2.959798994974874
43,-1.0,93.72,93.48,93.67636363414418,0.0,2.959798994974874
44,-1.0,93.67,93.2,93.90545454989346,0.0,2.959798994974874
45,-1.0,93.75,93.02,93.89818181929155,0.0,2.959798994974874
46,-1.0,93.63,93.22,93.93636363747336,0.0,2.959798994974874
47,-1.0,93.56,93.26,94.13090908647017,0.0,2.959798994974874
48,-1.0,94.09,93.86,94.09090909201882,0.0,2.959798994974874
49,-1.0,94.2,93.56,94.318181821511,0.0,2.959798994974874
