epoch,test_acc_before_rounding,test_acc,val_acc,train_acc,regularization_loss,model_sparsity
0,78.31,78.31,78.31,49.60545453879617,2.298292398452759,33.63149078726968
1,85.04,85.04,85.04,82.84181817626953,1.3448954820632935,12.036013400335008
2,83.1,83.1,83.1,83.76181818514738,0.8945543766021729,4.061976549413735
3,83.78,83.78,83.78,82.67272726717862,0.6597030758857727,3.513400335008375
4,82.15,82.15,82.15,83.08545453879617,0.5227699279785156,3.3006700167504186
5,84.26,84.26,84.26,83.06545454878373,0.44409188628196716,3.1792294807370185
6,83.09,83.09,83.09,83.11999999445135,0.39656969904899597,3.0854271356783918
7,84.32,84.32,84.32,83.16181817848899,0.3677079379558563,3.0268006700167502
8,83.13,83.13,83.13,83.39818181818181,0.34947261214256287,3.006700167504188
9,83.92,83.92,83.92,83.4127272771662,0.3378102779388428,2.9983249581239533
10,84.22,84.22,84.22,83.31999999445135,0.3296354413032532,2.976549413735343
11,84.45,84.45,84.45,83.54545453879616,0.32462483644485474,2.9656616415410384
12,84.37,84.37,84.37,83.6872727294922,0.3204537630081177,2.9564489112227808
13,84.43,84.43,84.43,83.62727273171164,0.31736475229263306,2.9581239530988275
14,83.95,83.95,83.95,83.7563636352539,0.3147141933441162,2.960636515912898
15,84.83,84.83,84.83,83.87636363636364,0.3130267560482025,2.942211055276382
16,84.54,84.54,84.54,83.70545454656427,0.31173527240753174,2.938860971524288
17,83.12,83.12,83.12,83.80545454434481,0.310854434967041,2.9346733668341707
18,83.42,83.42,83.42,83.88909090243253,0.31027621030807495,2.9346733668341707
19,83.17,83.17,83.17,83.9309090875799,0.30985942482948303,2.9396984924623117
20,84.14,84.14,84.14,83.95636363636363,0.3095981180667877,2.9413735343383585
21,84.34,84.34,84.34,83.99999999445134,0.30940815806388855,2.932998324958124
22,83.76,83.76,83.76,84.21636363081498,0.3093015253543854,2.9304857621440537
23,84.83,84.83,84.83,84.16000000332919,0.30926406383514404,2.936348408710218
24,84.43,84.43,84.43,84.23090908647018,0.3092551529407501,2.940536013400335
24,-1.0,41.32,40.64,40.78363636363636,0.0,2.940536013400335
25,-1.0,85.65,84.36,74.47272726717863,0.0,2.940536013400335
26,-1.0,87.07,86.5,86.34000000443892,0.0,2.940536013400335
27,-1.0,87.9,87.08,87.58181818181818,0.0,2.940536013400335
28,-1.0,88.64,88.22,88.02181818292792,0.0,2.940536013400335
29,-1.0,88.2,87.08,88.57454545121627,0.0,2.940536013400335
30,-1.0,89.78,88.72,89.12181818292791,0.0,2.940536013400335
31,-1.0,89.77,89.1,89.39818181818181,0.0,2.940536013400335
32,-1.0,90.5,90.06,89.6690909124201,0.0,2.940536013400335
33,-1.0,90.97,90.38,90.13090908979936,0.0,2.940536013400335
34,-1.0,91.23,90.6,90.50363635697798,0.0,2.940536013400335
35,-1.0,91.22,91.14,90.73454545565518,0.0,2.940536013400335
36,-1.0,91.64,91.32,90.81454545010654,0.0,2.940536013400335
37,-1.0,91.75,91.08,90.97090908868964,0.0,2.940536013400335
38,-1.0,91.55,91.28,91.18181818181819,0.0,2.940536013400335
39,-1.0,91.53,91.16,91.34909091131037,0.0,2.940536013400335
40,-1.0,91.79,91.06,91.51818182040128,0.0,2.940536013400335
41,-1.0,91.8,90.96,91.53454545898437,0.0,2.940536013400335
42,-1.0,91.68,91.46,91.64727273060191,0.0,2.940536013400335
43,-1.0,91.77,90.96,91.72727272394354,0.0,2.940536013400335
44,-1.0,92.18,91.86,91.86181818181818,0.0,2.940536013400335
45,-1.0,92.19,91.44,91.95454545010654,0.0,2.940536013400335
46,-1.0,91.98,91.74,92.03272727605646,0.0,2.940536013400335
47,-1.0,91.95,91.66,92.05818181818182,0.0,2.940536013400335
48,-1.0,92.28,91.9,92.17272726828836,0.0,2.940536013400335
49,-1.0,92.55,91.9,92.2745454489968,0.0,2.940536013400335
