epoch,test_acc_before_rounding,test_acc,val_acc,train_acc,regularization_loss,model_sparsity
0,28.65,28.65,28.65,25.47999999593099,0.8816123008728027,49.557271480531874
1,35.47,35.47,35.47,33.29333332994249,0.8697866797447205,49.22187108699541
2,40.07,40.07,40.07,37.91999999457465,0.858268678188324,48.87789935006857
3,44.13,44.13,44.13,42.022222222222226,0.8469651937484741,48.45343151869298
4,46.28,46.28,46.28,44.94222222154406,0.8359693288803101,48.095671098920754
5,46.67,46.67,46.67,47.50666666666667,0.8252373337745667,47.72822133444637
6,49.98,49.98,49.98,49.495555555555555,0.8147576451301575,47.36412557390734
7,49.32,49.32,49.32,51.07999999593099,0.8045336008071899,46.980278456860056
8,51.96,51.96,51.96,52.20888888414171,0.7945247292518616,46.59754934112456
9,51.26,51.26,51.26,54.20444443766276,0.7847551107406616,46.269229622562754
10,48.01,48.01,48.01,55.20666666463216,0.7752679586410522,45.875693160813306
11,56.28,56.28,56.28,56.59777777235243,0.7662471532821655,45.50079005426033
12,49.21,49.21,49.21,57.42444444240994,0.7574880123138428,45.14191163317631
13,56.75,56.75,56.75,58.79111110772027,0.7489654421806335,44.75471051219367
14,55.71,55.71,55.71,59.35777776963976,0.7407631874084473,44.40924810685111
15,58.55,58.55,58.55,59.94666665988498,0.732850193977356,36.84000655894103
16,58.51,58.51,58.51,56.119999993218315,0.7241370677947998,36.73864110667223
17,56.61,56.61,56.61,58.80222221272786,0.7168920040130615,36.65106433724882
18,59.06,59.06,59.06,59.3177777730306,0.7100087404251099,36.56646890465685
19,58.7,58.7,58.7,60.35555555284288,0.7035018801689148,36.48336414048059
20,60.43,60.43,60.43,60.27111110568576,0.6972834467887878,26.409426987061
21,43.65,43.65,43.65,39.124444441053605,0.6881988048553467,26.260360145489237
22,50.77,50.77,50.77,48.65333332858616,0.6823744177818298,26.224584103512015
23,50.43,50.43,50.43,51.34444444037543,0.6770444512367249,26.166448035299027
24,52.89,52.89,52.89,53.39777777438694,0.672090470790863,26.094150617136723
25,54.26,54.26,54.26,54.60444444037543,0.6674575805664062,18.93186154671755
26,28.94,28.94,28.94,26.042222219848632,0.6606274247169495,18.871862142984913
27,34.52,34.52,34.52,32.126666665988495,0.6561441421508789,18.83757676942341
28,33.99,33.99,33.99,34.0377777730306,0.6521256566047668,18.796583387991177
29,35.35,35.35,35.35,36.22222222154405,0.6483944058418274,18.75559000655894
30,36.02,36.02,36.02,37.664444441053604,0.6449968814849854,13.57141792379703
31,19.52,19.52,19.52,16.831111110432943,0.640457808971405,13.538995885755172
32,20.02,20.02,20.02,21.828888887193468,0.6374867558479309,13.528561206845149
33,24.34,24.34,24.34,23.211111111111112,0.6349141001701355,13.522971200286209
34,22.83,22.83,22.83,24.277777775065104,0.6326462626457214,13.51626319241548
35,26.24,26.24,26.24,25.326666664971246,0.6306859850883484,9.728847415180967
36,22.07,22.07,22.07,19.57777777709961,0.6282574534416199,9.719530737582732
