epoch,test_acc_before_rounding,test_acc,val_acc,train_acc,regularization_loss,model_sparsity
0,30.06,30.06,30.06,23.277777776082356,0.8816033601760864,49.493172738656014
1,34.14,34.14,34.14,32.69555555487739,0.8697861433029175,49.12013296762268
2,37.06,37.06,37.06,36.30666666124132,0.8582205176353455,48.7579005426033
3,39.26,39.26,39.26,39.55111111111111,0.8468620777130127,48.393059447856416
4,43.75,43.75,43.75,42.062222220865884,0.8357927799224854,48.00995766501699
5,45.03,45.03,45.03,44.502222217475044,0.8250114917755127,47.636917893983664
6,45.73,45.73,45.73,46.615555552164714,0.8144710659980774,47.25642478087174
7,46.95,46.95,46.95,49.05111111043294,0.8041595220565796,46.88114900721484
8,48.2,48.2,48.2,50.793333332655166,0.7940935492515564,46.51332657563651
9,48.96,48.96,48.96,52.38888888821072,0.7842804193496704,46.1227714507185
10,52.16,52.16,52.16,53.82888888346354,0.7747512459754944,45.75271301651661
11,52.72,52.72,52.72,54.74666666666667,0.7657226324081421,45.381163913898995
12,56.13,56.13,56.13,55.72666666191949,0.7569541335105896,45.03346550593286
13,56.74,56.74,56.74,56.79555555487739,0.7484515309333801,44.663034404627034
14,56.24,56.24,56.24,57.51111110432943,0.7402983903884888,44.323534672947346
15,58.33,58.33,58.33,58.23777777167426,0.7324082851409912,36.84000655894103
16,57.17,57.17,57.17,53.77555555216471,0.7236589789390564,36.729324429074
17,56.41,56.41,56.41,56.97777777709961,0.7163938879966736,36.65106433724882
18,56.81,56.81,56.81,57.851111108398435,0.7095521092414856,36.5772762506708
19,54.67,54.67,54.67,57.93999999593099,0.7030637860298157,36.501624828573135
20,51.5,51.5,51.5,58.177777770996094,0.6969224214553833,26.409426987061
21,44.69,44.69,44.69,38.81333333265516,0.688109278678894,26.25849680996959
22,48.39,48.39,48.39,49.43555555419922,0.6820168495178223,26.180609385248346
23,51.17,51.17,51.17,52.14666666327582,0.676508903503418,26.117255977580346
24,53.76,53.76,53.76,53.08666666327583,0.6714047193527222,26.06582791723809
25,52.1,52.1,52.1,54.5,0.6666893362998962,18.93186154671755
26,30.88,30.88,30.88,23.095555553860134,0.6594117283821106,18.852110786476658
27,33.69,33.69,33.69,30.028888886854382,0.654987096786499,18.816707411603364
28,35.52,35.52,35.52,34.12444444376628,0.650947630405426,18.76863335519647
