epoch,test_acc_before_rounding,test_acc,val_acc,train_acc,regularization_loss,model_sparsity
0,78.31,78.31,78.31,49.60545453879617,2.298292398452759,33.63149078726968
1,85.04,85.04,85.04,82.84181817626953,1.3448954820632935,12.036013400335008
2,83.1,83.1,83.1,83.76181818514738,0.8945543766021729,4.061976549413735
3,83.78,83.78,83.78,82.67272726717862,0.659679114818573,3.513400335008375
4,82.15,82.15,82.15,83.08545453879617,0.5226333141326904,3.3006700167504186
5,84.26,84.26,84.26,83.06545454878373,0.4438565671443939,3.1792294807370185
6,83.77,83.77,83.77,83.09999999556108,0.3962141275405884,3.087102177554439
7,83.85,83.85,83.85,83.26000000221946,0.36738088726997375,3.020100502512563
8,83.21,83.21,83.21,83.4090909090909,0.34934332966804504,3.012562814070352
9,83.53,83.53,83.53,83.65090909423829,0.3378903865814209,3.003350083752094
10,84.01,84.01,84.01,83.58181818292792,0.32960277795791626,2.969849246231156
11,84.23,84.23,84.23,83.58909090798117,0.3242146372795105,2.9614740368509214
12,83.08,83.08,83.08,83.7363636385831,0.32013988494873047,2.955611390284757
13,84.33,84.33,84.33,83.847272726163,0.31724241375923157,2.953098827470687
14,84.06,84.06,84.06,83.90727272505326,0.31507134437561035,2.9472361809045227
15,84.96,84.96,84.96,84.05272727272727,0.3133704960346222,2.95393634840871
16,84.83,84.83,84.83,83.94181817626954,0.3121072053909302,2.9413735343383585
17,84.49,84.49,84.49,83.99454545454546,0.31135857105255127,2.9279731993299833
18,84.31,84.31,84.31,84.16363636807529,0.3108749985694885,2.9313232830820772
19,84.93,84.93,84.93,84.0327272705078,0.31041964888572693,2.9346733668341707
20,84.04,84.04,84.04,84.11818181929155,0.31017693877220154,2.9380234505862646
21,84.49,84.49,84.49,84.17454545454545,0.31001943349838257,2.9396984924623117
22,83.04,83.04,83.04,84.21090908425072,0.3099361062049866,2.9279731993299833
23,84.49,84.49,84.49,84.21272726939809,0.30990418791770935,2.942211055276382
24,84.52,84.52,84.52,84.42727272505327,0.30989524722099304,2.946398659966499
24,-1.0,10.21,10.28,9.689090908536045,0.0,2.946398659966499
25,-1.0,17.29,17.16,10.378181818181819,0.0,2.946398659966499
26,-1.0,75.46,75.0,36.02727273171165,0.0,2.946398659966499
27,-1.0,87.88,87.86,83.71090908647017,0.0,2.946398659966499
28,-1.0,89.63,89.34,88.29818181263317,0.0,2.946398659966499
29,-1.0,90.63,90.2,89.852727273837,0.0,2.946398659966499
30,-1.0,91.34,91.36,90.7018181751598,0.0,2.946398659966499
31,-1.0,91.71,91.72,91.46363635919744,0.0,2.946398659966499
32,-1.0,92.03,91.84,91.95818181485262,0.0,2.946398659966499
33,-1.0,92.6,92.34,92.30181817848899,0.0,2.946398659966499
34,-1.0,92.49,92.2,92.61090908868962,0.0,2.946398659966499
35,-1.0,92.29,92.16,92.76727272949219,0.0,2.946398659966499
36,-1.0,92.72,92.34,92.87454545676492,0.0,2.946398659966499
37,-1.0,93.12,92.96,93.04909091131037,0.0,2.946398659966499
38,-1.0,92.98,92.82,93.20363636585583,0.0,2.946398659966499
39,-1.0,92.94,92.54,93.389090904652,0.0,2.946398659966499
40,-1.0,93.62,92.94,93.4581818137429,0.0,2.946398659966499
41,-1.0,93.55,92.86,93.65636363969283,0.0,2.946398659966499
42,-1.0,94.1,93.44,93.74727272283381,0.0,2.946398659966499
43,-1.0,94.35,93.7,93.78363636030717,0.0,2.946398659966499
44,-1.0,94.11,93.48,93.94000000221946,0.0,2.946398659966499
45,-1.0,94.02,93.7,94.01090909423829,0.0,2.946398659966499
46,-1.0,94.0,93.66,94.16363636585582,0.0,2.946398659966499
47,-1.0,94.37,93.84,94.18000000332918,0.0,2.946398659966499
48,-1.0,94.15,93.54,94.32545453879617,0.0,2.946398659966499
49,-1.0,94.44,94.0,94.45818181929155,0.0,2.946398659966499
